Excitation Force 1.pitch heading 180.0º mag
ω [rad/s];Fexₘₐ₅ tanker(Wm.o) [Nm/m]
0.300000014666746;2891521545.381
0.349999961406977;2242553169.10362
0.400000083217654;1417301065.34188
0.450000129429741;588528111.902237
0.500000024444576;317343277.356525
0.550000158191906;672597783.845225
0.600000315812554;804822591.378925
0.650000062813167;673376297.013787
0.700000078785798;373042401.561025
0.750000036666864;245626081.366838
0.800000064576116;410335142.439337
0.850000082140296;427102778.162287
0.900000129943923;254841586.504838
0.950000182522204;210479001.18525
1.00000004888915;320826131.168988
1.0500000011998;226408315.43295
1.09999993122876;157602426.98375
1.14999987319435;236566379.380712
1.19999994407542;118968170.708713
1.24999981243187;166687560.064988
1.29999985665448;112219682.83295
1.34999980816937;119398689.9987
1.39999984562791;81620195.1001062
1.44999974780478;97249392.27003
1.49999971523516;55327116.5369037
1.54999959473247;79508700.526815
1.59999951799738;54076097.6418775
1.64999960797701;52617528.8449212
1.69999924436534;58340088.1469437
1.74999931962311;38064609.7963337
1.79999922856411;37251739.5198288
1.84999911880442;40253674.2356263
1.89999921594597;30234064.0048913
1.94999897806668;19883055.44421
1.99999914284901;22511474.7199738
2.04999895828657;24241844.62833
2.09999930052653;20306116.28654
2.14999909567183;14588241.13089
2.19999947730268;10802395.4212038
2.24999903570513;9618576.93853525
2.29999890445955;9429576.658313
2.34999901154827;9070609.21193787
2.39999897141881;8463766.99238263
2.44999850157145;7746199.99610713
2.49999912750478;6962550.34944087
2.54999921151609;6117304.17797625
2.59999863742224;5264571.41376862
2.64999812619473;4487173.99680987
