Excitation Force 1.heave heading 45.0º mag
ω [rad/s];Fexₘₐ₃ tanker(Wm.o) [N/m]
0.300000014666746;37553555.3545512
0.349999961406977;26812646.8933487
0.400000083217654;16858262.89826
0.450000129429741;8002878.149959
0.500000024444576;2337189.00873413
0.550000158191906;6863390.18731625
0.600000315812554;10342223.2732788
0.650000062813167;11105316.9557137
0.700000078785798;9550649.77986263
0.750000036666864;6504413.6943065
0.800000064576116;3794402.82085988
0.850000082140296;4058719.34988012
0.900000129943923;5084455.93392975
0.950000182522204;4778917.91164987
1.00000004888915;3523693.33670463
1.0500000011998;3210270.66975825
1.09999993122876;3826549.534409
1.14999987319435;3127188.3877255
1.19999994407542;2036983.47497488
1.24999981243187;2646024.026744
1.29999985665448;2248137.95821212
1.34999980816937;1274595.43004062
1.39999984562791;1580105.307235
1.44999974780478;1136485.48512888
1.49999971523516;801395.625664812
1.54999959473247;769175.83541155
1.59999951799738;516888.716970325
1.64999960797701;501291.012140712
1.69999924436534;410822.15293665
1.74999931962311;442595.642548412
1.79999922856411;367222.6009886
1.84999911880442;403057.627474338
1.89999921594597;330358.972146
1.94999897806668;312812.722736325
1.99999914284901;278996.503026237
2.04999895828657;220314.602867712
2.09999930052653;207708.117517775
2.14999909567183;183928.033224337
2.19999947730268;148105.8730634
2.24999903570513;173240.339078362
2.29999890445955;152332.661796525
2.34999901154827;150279.07573665
2.39999897141881;146221.559589175
2.44999850157145;144478.876205913
2.49999912750478;117472.259414387
2.54999921151609;108101.956306137
2.59999863742224;94451.5998904537
2.64999812619473;78373.2574150312
