Excitation Force 1.surge heading 45.0º mag
ω [rad/s];Fexₘₐ₁ tanker(Wm.o) [N/m]
0.300000014666746;6675712.7261125
0.349999961406977;6032084.87980875
0.400000083217654;4814110.32552275
0.450000129429741;3073137.761386
0.500000024444576;1183170.14052037
0.550000158191906;1261961.302196
0.600000315812554;2839539.58282575
0.650000062813167;3987879.17485825
0.700000078785798;4347644.73544362
0.750000036666864;3786279.94814825
0.800000064576116;2525759.07122087
0.850000082140296;1239818.15617887
0.900000129943923;1533958.42401287
0.950000182522204;2301562.35639925
1.00000004888915;2406484.21959837
1.0500000011998;1880937.06914663
1.09999993122876;1284477.370596
1.14999987319435;1323467.36064812
1.19999994407542;1537622.311036
1.24999981243187;1345467.7708745
1.29999985665448;905271.79841945
1.34999980816937;878240.755714438
1.39999984562791;932773.768715775
1.44999974780478;598184.188146475
1.49999971523516;461334.037365337
1.54999959473247;458851.942378725
1.59999951799738;217527.636294238
1.64999960797701;128928.21387635
1.69999924436534;45491.826460745
1.74999931962311;70741.3958235863
1.79999922856411;180665.515224075
1.84999911880442;176578.949327637
1.89999921594597;264013.868832962
1.94999897806668;247044.29212155
1.99999914284901;259635.800265275
2.04999895828657;251431.809396513
2.09999930052653;212725.78315345
2.14999909567183;193117.001567438
2.19999947730268;134253.967680088
2.24999903570513;103882.002808062
2.29999890445955;41984.4060093675
2.34999901154827;27124.424077975
2.39999897141881;39309.5372907125
2.44999850157145;53350.4067677088
2.49999912750478;86387.841910195
2.54999921151609;94083.7838302337
2.59999863742224;105291.669518963
2.64999812619473;86604.8304675837
