Excitation Force 1.sway heading 90.0º mag
ω [rad/s];Fexₘₐ₂ tanker(Wm.o) [N/m]
0.300000014666746;39026829.9586812
0.349999961406977;40597215.1596025
0.400000083217654;41492068.0494425
0.450000129429741;42075887.5890587
0.500000024444576;42338199.7859187
0.550000158191906;42109772.2616375
0.600000315812554;41391157.8661087
0.650000062813167;40383081.3180288
0.700000078785798;39256805.462665
0.750000036666864;38000931.54039
0.800000064576116;36553067.92774
0.850000082140296;34988965.111975
0.900000129943923;33389620.6284375
0.950000182522204;31709338.920455
1.00000004888915;29974284.8657263
1.0500000011998;28291811.8618013
1.09999993122876;26611339.16931
1.14999987319435;24963766.071405
1.19999994407542;23413776.005655
1.24999981243187;21914306.3683775
1.29999985665448;20524431.6836737
1.34999980816937;19219334.0172225
1.39999984562791;18021408.8156288
1.44999974780478;16926766.0260037
1.49999971523516;15934671.8657612
1.54999959473247;15044402.6041312
1.59999951799738;14246921.658305
1.64999960797701;13535434.0004975
1.69999924436534;12900078.7989675
1.74999931962311;12334382.68405
1.79999922856411;11828203.3731487
1.84999911880442;11370242.6247988
1.89999921594597;10951473.9080075
1.94999897806668;10560468.3076987
1.99999914284901;10186691.5204425
2.04999895828657;9819858.52785175
2.09999930052653;9453249.69076338
2.14999909567183;9085229.5786735
2.19999947730268;8717598.4718725
2.24999903570513;8355314.9313165
2.29999890445955;8005288.57549575
2.34999901154827;7674033.98652187
2.39999897141881;7365531.68362987
2.44999850157145;7081091.41847712
2.49999912750478;6821046.91136313
2.54999921151609;6585881.6546495
2.59999863742224;6375787.63802662
2.64999812619473;6189885.32757262
