Added mass 1.heave
ω [rad/s];A₃₃ tanker(Wm.o) [kg];ω [rad/s];A∞₃₃ tanker(Wm.o) [kg];ω [rad/s];A₀₃₃ tanker(Wm.o) [kg]
0.300000014666746;159893747.5;0.300000014666746;184384569.98063;0;199256585.974529
0.349999961406977;148525267.5;2.64999812619473;184384569.98063;;
0.400000083217654;146266680;;;;
0.450000129429741;145915925;;;;
0.500000024444576;144966057.5;;;;
0.550000158191906;143311605;;;;
0.600000315812554;142074942.5;;;;
0.650000062813167;142103847.5;;;;
0.700000078785798;143197727.5;;;;
0.750000036666864;144742607.5;;;;
0.800000064576116;146441545;;;;
0.850000082140296;148523012.5;;;;
0.900000129943923;151161362.5;;;;
0.950000182522204;154102292.5;;;;
1.00000004888915;157212860;;;;
1.0500000011998;160686380;;;;
1.09999993122876;164283412.5;;;;
1.14999987319435;167850105;;;;
1.19999994407542;171528112.5;;;;
1.24999981243187;175023772.5;;;;
1.29999985665448;178417547.5;;;;
1.34999980816937;181600890;;;;
1.39999984562791;184572365;;;;
1.44999974780478;187303682.5;;;;
1.49999971523516;189804785;;;;
1.54999959473247;192076390;;;;
1.59999951799738;194132950;;;;
1.64999960797701;195998552.5;;;;
1.69999924436534;197682627.5;;;;
1.74999931962311;199211312.5;;;;
1.79999922856411;200598445;;;;
1.84999911880442;201859195;;;;
1.89999921594597;203007400;;;;
1.94999897806668;204055770;;;;
1.99999914284901;205014350;;;;
2.04999895828657;205892160;;;;
2.09999930052653;206700270;;;;
2.14999909567183;207444522.5;;;;
2.19999947730268;208130145;;;;
2.24999903570513;208764517.5;;;;
2.29999890445955;209355225;;;;
2.34999901154827;209901652.5;;;;
2.39999897141881;210409232.5;;;;
2.44999850157145;210882167.5;;;;
2.49999912750478;211323020;;;;
2.54999921151609;211739272.5;;;;
2.59999863742224;212122725;;;;
2.64999812619473;212485370;;;;
