Added mass 1.heave_pitch
ω [rad/s];A₃₅ tanker(Wm.o) [kg m/rad];ω [rad/s];A∞₃₅ tanker(Wm.o) [kg m/rad];ω [rad/s];A₀₃₅ tanker(Wm.o) [kg m/rad]
0.300000014666746;1503944062.5;0.300000014666746;1641749063.19668;0;1851146314.09441
0.349999961406977;1400909012.5;2.64999812619473;1641749063.19668;;
0.400000083217654;1383455312.5;;;;
0.450000129429741;1384632525;;;;
0.500000024444576;1375784725;;;;
0.550000158191906;1354766075;;;;
0.600000315812554;1335439700;;;;
0.650000062813167;1326399712.5;;;;
0.700000078785798;1326521687.5;;;;
0.750000036666864;1330761087.5;;;;
0.800000064576116;1336058287.5;;;;
0.850000082140296;1343353725;;;;
0.900000129943923;1353557087.5;;;;
0.950000182522204;1366430062.5;;;;
1.00000004888915;1382060800;;;;
1.0500000011998;1400841362.5;;;;
1.09999993122876;1421666800;;;;
1.14999987319435;1444855375;;;;
1.19999994407542;1470501387.5;;;;
1.24999981243187;1497111925;;;;
1.29999985665448;1524876612.5;;;;
1.34999980816937;1552739187.5;;;;
1.39999984562791;1580105150;;;;
1.44999974780478;1606574750;;;;
1.49999971523516;1631639587.5;;;;
1.54999959473247;1655286850;;;;
1.59999951799738;1677337162.5;;;;
1.64999960797701;1697925825;;;;
1.69999924436534;1717013375;;;;
1.74999931962311;1734752537.5;;;;
1.79999922856411;1751173550;;;;
1.84999911880442;1766345600;;;;
1.89999921594597;1780342487.5;;;;
1.94999897806668;1793205725;;;;
1.99999914284901;1805042425;;;;
2.04999895828657;1815918187.5;;;;
2.09999930052653;1825940125;;;;
2.14999909567183;1835146162.5;;;;
2.19999947730268;1843623937.5;;;;
2.24999903570513;1851400612.5;;;;
2.29999890445955;1858524875;;;;
2.34999901154827;1865053612.5;;;;
2.39999897141881;1871008350;;;;
2.44999850157145;1876435212.5;;;;
2.49999912750478;1881378275;;;;
2.54999921151609;1885872900;;;;
2.59999863742224;1889933437.5;;;;
2.64999812619473;1893581925;;;;
