Added mass 1.roll_sway
ω [rad/s];A₄₂ tanker(Wm.o) [kg m];ω [rad/s];A∞₄₂ tanker(Wm.o) [kg m];ω [rad/s];A₀₄₂ tanker(Wm.o) [kg m]
0.300000014666746;-312822210;0.300000014666746;-98453135.3721526;0;-312822210
0.349999961406977;-246196185;2.64999812619473;-98453135.3721526;;
0.400000083217654;-197439805;;;;
0.450000129429741;-162460501.25;;;;
0.500000024444576;-134390568.75;;;;
0.550000158191906;-109331881.25;;;;
0.600000315812554;-87825556.75;;;;
0.650000062813167;-71588388.25;;;;
0.700000078785798;-60473078.125;;;;
0.750000036666864;-52290482.625;;;;
0.800000064576116;-45769161;;;;
0.850000082140296;-41256788.125;;;;
0.900000129943923;-38927127.125;;;;
0.950000182522204;-38347684.375;;;;
1.00000004888915;-39279752.75;;;;
1.0500000011998;-41114400.25;;;;
1.09999993122876;-43922936.125;;;;
1.14999987319435;-47813938.625;;;;
1.19999994407542;-51843782.5;;;;
1.24999981243187;-56383804.75;;;;
1.29999985665448;-60971556.125;;;;
1.34999980816937;-65523053.25;;;;
1.39999984562791;-69918565.875;;;;
1.44999974780478;-74100038;;;;
1.49999971523516;-77959444.875;;;;
1.54999959473247;-81555196.125;;;;
1.59999951799738;-84802334.625;;;;
1.64999960797701;-87766465.5;;;;
1.69999924436534;-90449500.375;;;;
1.74999931962311;-92859982.625;;;;
1.79999922856411;-95042417.75;;;;
1.84999911880442;-97007506.75;;;;
1.89999921594597;-98779690.75;;;;
1.94999897806668;-100376256.375;;;;
1.99999914284901;-101817903.5;;;;
2.04999895828657;-103122943.75;;;;
2.09999930052653;-104302052.5;;;;
2.14999909567183;-105371127.5;;;;
2.19999947730268;-106343493.75;;;;
2.24999903570513;-107229708.75;;;;
2.29999890445955;-108039868.75;;;;
2.34999901154827;-108783250;;;;
2.39999897141881;-109467181.25;;;;
2.44999850157145;-110097761.25;;;;
2.49999912750478;-110680268.75;;;;
2.54999921151609;-111220290;;;;
2.59999863742224;-111722078.75;;;;
2.64999812619473;-112190298.75;;;;
