Added mass 1.roll_yaw
ω [rad/s];A₄₆ tanker(Wm.o) [kg m²/rad];ω [rad/s];A∞₄₆ tanker(Wm.o) [kg m²/rad];ω [rad/s];A₀₄₆ tanker(Wm.o) [kg m²/rad]
0.300000014666746;6571831062.5;0.300000014666746;1890501691.26033;0;8577603167.16694
0.349999961406977;5621659137.5;2.64999812619473;1890501691.26033;;
0.400000083217654;4495518287.5;;;;
0.450000129429741;3652807875;;;;
0.500000024444576;3273092525;;;;
0.550000158191906;3177967400;;;;
0.600000315812554;3009558875;;;;
0.650000062813167;2595359450;;;;
0.700000078785798;2158803750;;;;
0.750000036666864;1954482812.5;;;;
0.800000064576116;1898947287.5;;;;
0.850000082140296;1743761262.5;;;;
0.900000129943923;1557530550;;;;
0.950000182522204;1499331050;;;;
1.00000004888915;1419169387.5;;;;
1.0500000011998;1316232737.5;;;;
1.09999993122876;1307525362.5;;;;
1.14999987319435;1229326062.5;;;;
1.19999994407542;1199234625;;;;
1.24999981243187;1178398425;;;;
1.29999985665448;1146914525;;;;
1.34999980816937;1146536300;;;;
1.39999984562791;1140823975;;;;
1.44999974780478;1148639087.5;;;;
1.49999971523516;1163657387.5;;;;
1.54999959473247;1178689012.5;;;;
1.59999951799738;1201259512.5;;;;
1.64999960797701;1223778250;;;;
1.69999924436534;1246601412.5;;;;
1.74999931962311;1272372987.5;;;;
1.79999922856411;1297324050;;;;
1.84999911880442;1322585175;;;;
1.89999921594597;1348339837.5;;;;
1.94999897806668;1373966887.5;;;;
1.99999914284901;1399131150;;;;
2.04999895828657;1423230437.5;;;;
2.09999930052653;1446542012.5;;;;
2.14999909567183;1468973112.5;;;;
2.19999947730268;1490316687.5;;;;
2.24999903570513;1510734687.5;;;;
2.29999890445955;1530340887.5;;;;
2.34999901154827;1549122987.5;;;;
2.39999897141881;1567050750;;;;
2.44999850157145;1584110337.5;;;;
2.49999912750478;1600284837.5;;;;
2.54999921151609;1615599362.5;;;;
2.59999863742224;1630127200;;;;
2.64999812619473;1643961625;;;;
