Added mass 1.surge
ω [rad/s];A₁₁ tanker(Wm.o) [kg];ω [rad/s];A∞₁₁ tanker(Wm.o) [kg];ω [rad/s];A₀₁₁ tanker(Wm.o) [kg]
0.300000014666746;3900900.925;0.300000014666746;1849819.42017046;0;5502586.31789151
0.349999961406977;3394624.725;2.64999812619473;1849819.42017046;;
0.400000083217654;3341812.625;;;;
0.450000129429741;3406385.575;;;;
0.500000024444576;3298582.225;;;;
0.550000158191906;2991895.05;;;;
0.600000315812554;2617314.95;;;;
0.650000062813167;2324038.875;;;;
0.700000078785798;2179102.85;;;;
0.750000036666864;2107949.4;;;;
0.800000064576116;2012824.275;;;;
0.850000082140296;1884114;;;;
0.900000129943923;1771205.125;;;;
0.950000182522204;1693654.65;;;;
1.00000004888915;1631190.125;;;;
1.0500000011998;1568711.25;;;;
1.09999993122876;1507362.95;;;;
1.14999987319435;1459587.7;;;;
1.19999994407542;1420641.8;;;;
1.24999981243187;1384684.8;;;;
1.29999985665448;1362303.925;;;;
1.34999980816937;1346100.725;;;;
1.39999984562791;1340251.05;;;;
1.44999974780478;1341047.475;;;;
1.49999971523516;1348778.025;;;;
1.54999959473247;1361054.45;;;;
1.59999951799738;1375839.05;;;;
1.64999960797701;1391842.375;;;;
1.69999924436534;1406686.425;;;;
1.74999931962311;1420791.45;;;;
1.79999922856411;1433902.225;;;;
1.84999911880442;1446943.3;;;;
1.89999921594597;1460799.25;;;;
1.94999897806668;1475569.5;;;;
1.99999914284901;1491305.3;;;;
2.04999895828657;1507648.925;;;;
2.09999930052653;1523980.25;;;;
2.14999909567183;1539743.725;;;;
2.19999947730268;1554486.3;;;;
2.24999903570513;1568195.675;;;;
2.29999890445955;1581263.4;;;;
2.34999901154827;1594084.1;;;;
2.39999897141881;1606840.225;;;;
2.44999850157145;1619514.35;;;;
2.49999912750478;1631969.125;;;;
2.54999921151609;1643951.375;;;;
2.59999863742224;1655303.25;;;;
2.64999812619473;1666036.025;;;;
