Added mass 1.sway_roll
ω [rad/s];A₂₄ tanker(Wm.o) [kg m/rad];ω [rad/s];A∞₂₄ tanker(Wm.o) [kg m/rad];ω [rad/s];A₀₂₄ tanker(Wm.o) [kg m/rad]
0.300000014666746;-313025057.5;0.300000014666746;-98443771.4971491;0;-313025057.5
0.349999961406977;-246365720;2.64999812619473;-98443771.4971491;;
0.400000083217654;-197591300;;;;
0.450000129429741;-162599440;;;;
0.500000024444576;-134511570;;;;
0.550000158191906;-109428180;;;;
0.600000315812554;-87897973;;;;
0.650000062813167;-71644537.75;;;;
0.700000078785798;-60519116;;;;
0.750000036666864;-52324712.5;;;;
0.800000064576116;-45787693;;;;
0.850000082140296;-41261098.25;;;;
0.900000129943923;-38921166.75;;;;
0.950000182522204;-38330736;;;;
1.00000004888915;-39251011.75;;;;
1.0500000011998;-41076752;;;;
1.09999993122876;-43877000.75;;;;
1.14999987319435;-47759547;;;;
1.19999994407542;-51783768.75;;;;
1.24999981243187;-56318276.5;;;;
1.29999985665448;-60902025.25;;;;
1.34999980816937;-65450719;;;;
1.39999984562791;-69844391.75;;;;
1.44999974780478;-74024987.5;;;;
1.49999971523516;-77884543;;;;
1.54999959473247;-81481001.5;;;;
1.59999951799738;-84729554.5;;;;
1.64999960797701;-87695658.5;;;;
1.69999924436534;-90380830.5;;;;
1.74999931962311;-92793875.25;;;;
1.79999922856411;-94978990.75;;;;
1.84999911880442;-96946919;;;;
1.89999921594597;-98722024.25;;;;
1.94999897806668;-100321526.5;;;;
1.99999914284901;-101766223;;;;
2.04999895828657;-103074205;;;;
2.09999930052653;-104256235;;;;
2.14999909567183;-105328077.5;;;;
2.19999947730268;-106303160;;;;
2.24999903570513;-107191835;;;;
2.29999890445955;-108004352.5;;;;
2.34999901154827;-108749937.5;;;;
2.39999897141881;-109435867.5;;;;
2.44999850157145;-110068087.5;;;;
2.49999912750478;-110652030;;;;
2.54999921151609;-111193332.5;;;;
2.59999863742224;-111696095;;;;
2.64999812619473;-112165032.5;;;;
