Added mass 1.sway_yaw
ω [rad/s];A₂₆ tanker(Wm.o) [kg m/rad];ω [rad/s];A∞₂₆ tanker(Wm.o) [kg m/rad];ω [rad/s];A₀₂₆ tanker(Wm.o) [kg m/rad]
0.300000014666746;12667954.5;0.300000014666746;83040726.4268783;0;12667954.5
0.349999961406977;49348297;2.64999812619473;83040726.4268783;;
0.400000083217654;76502289.5;;;;
0.450000129429741;94861013.25;;;;
0.500000024444576;108350597.5;;;;
0.550000158191906;119090035;;;;
0.600000315812554;126503655;;;;
0.650000062813167;132370242.5;;;;
0.700000078785798;136047430;;;;
0.750000036666864;136691540;;;;
0.800000064576116;134981020;;;;
0.850000082140296;131609282.5;;;;
0.900000129943923;128115775;;;;
0.950000182522204;123233905;;;;
1.00000004888915;116572840;;;;
1.0500000011998;110319315;;;;
1.09999993122876;104416955;;;;
1.14999987319435;97976265;;;;
1.19999994407542;92785921.25;;;;
1.24999981243187;88033262.75;;;;
1.29999985665448;84045223.5;;;;
1.34999980816937;80725832.75;;;;
1.39999984562791;77884912;;;;
1.44999974780478;75457455.75;;;;
1.49999971523516;73441485.75;;;;
1.54999959473247;71772283.5;;;;
1.59999951799738;70484873.25;;;;
1.64999960797701;69525903.75;;;;
1.69999924436534;68836345.25;;;;
1.74999931962311;68372830;;;;
1.79999922856411;68044450.75;;;;
1.84999911880442;67810433;;;;
1.89999921594597;67634061.25;;;;
1.94999897806668;67509882.5;;;;
1.99999914284901;67438983.25;;;;
2.04999895828657;67415234;;;;
2.09999930052653;67433079.25;;;;
2.14999909567183;67474458.5;;;;
2.19999947730268;67522264.5;;;;
2.24999903570513;67567467;;;;
2.29999890445955;67605648.25;;;;
2.34999901154827;67633764;;;;
2.39999897141881;67656672.75;;;;
2.44999850157145;67675358.5;;;;
2.49999912750478;67692629.75;;;;
2.54999921151609;67708435.25;;;;
2.59999863742224;67720233;;;;
2.64999812619473;67725747.5;;;;
