Added mass 1.yaw
ω [rad/s];A₆₆ tanker(Wm.o) [kg m²/rad];ω [rad/s];A∞₆₆ tanker(Wm.o) [kg m²/rad];ω [rad/s];A₀₆₆ tanker(Wm.o) [kg m²/rad]
0.300000014666746;382434470000;0.300000014666746;95666436236.8024;0;616813085805.181
0.349999961406977;355535702500;2.64999812619473;95666436236.8024;;
0.400000083217654;305588682500;;;;
0.450000129429741;251045562500;;;;
0.500000024444576;207280317500;;;;
0.550000158191906;178819655000;;;;
0.600000315812554;160470822500;;;;
0.650000062813167;143686447500;;;;
0.700000078785798;125262892500;;;;
0.750000036666864;108554367500;;;;
0.800000064576116;96511406750;;;;
0.850000082140296;87152224000;;;;
0.900000129943923;78050931250;;;;
0.950000182522204;70533314750;;;;
1.00000004888915;64634726750;;;;
1.0500000011998;59222306500;;;;
1.09999993122876;55462637250;;;;
1.14999987319435;52273226750;;;;
1.19999994407542;49896016000;;;;
1.24999981243187;48489162500;;;;
1.29999985665448;47435062750;;;;
1.34999980816937;47141912750;;;;
1.39999984562791;47136880000;;;;
1.44999974780478;47545004250;;;;
1.49999971523516;48214021750;;;;
1.54999959473247;49075339500;;;;
1.59999951799738;50121136750;;;;
1.64999960797701;51279602000;;;;
1.69999924436534;52516715500;;;;
1.74999931962311;53828080000;;;;
1.79999922856411;55165192500;;;;
1.84999911880442;56515343000;;;;
1.89999921594597;57866436500;;;;
1.94999897806668;59204451000;;;;
1.99999914284901;60517353000;;;;
2.04999895828657;61795466500;;;;
2.09999930052653;63039017000;;;;
2.14999909567183;64244068500;;;;
2.19999947730268;65407300000;;;;
2.24999903570513;66529111250;;;;
2.29999890445955;67609697000;;;;
2.34999901154827;68648483250;;;;
2.39999897141881;69645193250;;;;
2.44999850157145;70600257500;;;;
2.49999912750478;71514537000;;;;
2.54999921151609;72389579500;;;;
2.59999863742224;73227178750;;;;
2.64999812619473;74029231000;;;;
