Added mass 1.pitch
ω [rad/s];A₅₅ tanker(Wm.o) [kg m²/rad];ω [rad/s];A∞₅₅ tanker(Wm.o) [kg m²/rad];ω [rad/s];A₀₅₅ tanker(Wm.o) [kg m²/rad]
0.300000014666746;1068509200000;0.300000014666746;620373353678.669;0;1068509200000
0.349999961406977;838495612500;2.64999812619473;620373353678.669;;
0.400000083217654;671217662500;;;;
0.450000129429741;576785745000;;;;
0.500000024444576;539375090000;;;;
0.550000158191906;528060320000;;;;
0.600000315812554;521143312500;;;;
0.650000062813167;510845547500;;;;
0.700000078785798;499992437500;;;;
0.750000036666864;494791280000;;;;
0.800000064576116;495688155000;;;;
0.850000082140296;498325890000;;;;
0.900000129943923;500734230000;;;;
0.950000182522204;505568232500;;;;
1.00000004888915;512847270000;;;;
1.0500000011998;519552410000;;;;
1.09999993122876;527575495000;;;;
1.14999987319435;536889772500;;;;
1.19999994407542;545222100000;;;;
1.24999981243187;554776535000;;;;
1.29999985665448;563584257500;;;;
1.34999980816937;572544705000;;;;
1.39999984562791;580946220000;;;;
1.44999974780478;589048435000;;;;
1.49999971523516;596547027500;;;;
1.54999959473247;603558642500;;;;
1.59999951799738;610051197500;;;;
1.64999960797701;615997120000;;;;
1.69999924436534;621525150000;;;;
1.74999931962311;626600027500;;;;
1.79999922856411;631283867500;;;;
1.84999911880442;635615415000;;;;
1.89999921594597;639608815000;;;;
1.94999897806668;643296970000;;;;
1.99999914284901;646702225000;;;;
2.04999895828657;649846925000;;;;
2.09999930052653;652763665000;;;;
2.14999909567183;655458902500;;;;
2.19999947730268;657957750000;;;;
2.24999903570513;660282040000;;;;
2.29999890445955;662443457500;;;;
2.34999901154827;664454610000;;;;
2.39999897141881;666322570000;;;;
2.44999850157145;668051130000;;;;
2.49999912750478;669665505000;;;;
2.54999921151609;671177482500;;;;
2.59999863742224;672582142500;;;;
2.64999812619473;673892605000;;;;
