Added mass 1.roll
ω [rad/s];A₄₄ tanker(Wm.o) [kg m²/rad];ω [rad/s];A∞₄₄ tanker(Wm.o) [kg m²/rad];ω [rad/s];A₀₄₄ tanker(Wm.o) [kg m²/rad]
0.300000014666746;3566788850;0.300000014666746;2702054277.89571;0;4935159260.83611
0.349999961406977;3297701750;2.64999812619473;2702054277.89571;;
0.400000083217654;3106346550;;;;
0.450000129429741;2976475975;;;;
0.500000024444576;2875552425;;;;
0.550000158191906;2781549675;;;;
0.600000315812554;2693398650;;;;
0.650000062813167;2625454475;;;;
0.700000078785798;2587630950;;;;
0.750000036666864;2567490725;;;;
0.800000064576116;2546030300;;;;
0.850000082140296;2523995875;;;;
0.900000129943923;2519943025;;;;
0.950000182522204;2526625000;;;;
1.00000004888915;2525299675;;;;
1.0500000011998;2531587025;;;;
1.09999993122876;2547100400;;;;
1.14999987319435;2552284850;;;;
1.19999994407542;2565620100;;;;
1.24999981243187;2576337500;;;;
1.29999985665448;2585305225;;;;
1.34999980816937;2595881175;;;;
1.39999984562791;2604178550;;;;
1.44999974780478;2612873625;;;;
1.49999971523516;2620804050;;;;
1.54999959473247;2628074375;;;;
1.59999951799738;2634969550;;;;
1.64999960797701;2641365550;;;;
1.69999924436534;2647101450;;;;
1.74999931962311;2652710250;;;;
1.79999922856411;2657847550;;;;
1.84999911880442;2662692725;;;;
1.89999921594597;2667346225;;;;
1.94999897806668;2671747575;;;;
1.99999914284901;2675960325;;;;
2.04999895828657;2679969100;;;;
2.09999930052653;2683786200;;;;
2.14999909567183;2687446475;;;;
2.19999947730268;2690937625;;;;
2.24999903570513;2694271950;;;;
2.29999890445955;2697474050;;;;
2.34999901154827;2700553150;;;;
2.39999897141881;2703516425;;;;
2.44999850157145;2706360800;;;;
2.49999912750478;2709083200;;;;
2.54999921151609;2711697975;;;;
2.59999863742224;2714197950;;;;
2.64999812619473;2716600550;;;;
