Added mass 1.surge_pitch
ω [rad/s];A₁₅ tanker(Wm.o) [kg m/rad];ω [rad/s];A∞₁₅ tanker(Wm.o) [kg m/rad];ω [rad/s];A₀₁₅ tanker(Wm.o) [kg m/rad]
0.300000014666746;1229622287.5;0.300000014666746;647568128.513577;0;1229622287.5
0.349999961406977;829233097.5;2.64999812619473;647568128.513577;;
0.400000083217654;647858578.75;;;;
0.450000129429741;634025076.25;;;;
0.500000024444576;673031810;;;;
0.550000158191906;682476211.25;;;;
0.600000315812554;648176943.75;;;;
0.650000062813167;595501527.5;;;;
0.700000078785798;559332660;;;;
0.750000036666864;549958881.25;;;;
0.800000064576116;547562943.75;;;;
0.850000082140296;535512377.5;;;;
0.900000129943923;519993211.25;;;;
0.950000182522204;514082087.5;;;;
1.00000004888915;513904147.5;;;;
1.0500000011998;510327666.25;;;;
1.09999993122876;508078816.25;;;;
1.14999987319435;512349017.5;;;;
1.19999994407542;516068025;;;;
1.24999981243187;521536707.5;;;;
1.29999985665448;530340637.5;;;;
1.34999980816937;538829226.25;;;;
1.39999984562791;549271516.25;;;;
1.44999974780478;559472418.75;;;;
1.49999971523516;570118068.75;;;;
1.54999959473247;580410606.25;;;;
1.59999951799738;590449200;;;;
1.64999960797701;600053398.75;;;;
1.69999924436534;609265842.5;;;;
1.74999931962311;617946003.75;;;;
1.79999922856411;626334450;;;;
1.84999911880442;634251088.75;;;;
1.89999921594597;641809028.75;;;;
1.94999897806668;648976751.25;;;;
1.99999914284901;655719457.5;;;;
2.04999895828657;662087885;;;;
2.09999930052653;668057228.75;;;;
2.14999909567183;673652191.25;;;;
2.19999947730268;678930736.25;;;;
2.24999903570513;683920641.25;;;;
2.29999890445955;688642662.5;;;;
2.34999901154827;693114993.75;;;;
2.39999897141881;697332868.75;;;;
2.44999850157145;701292187.5;;;;
2.49999912750478;705008427.5;;;;
2.54999921151609;708498757.5;;;;
2.59999863742224;711790135;;;;
2.64999812619473;714899216.25;;;;
