Added mass 1.sway
ω [rad/s];A₂₂ tanker(Wm.o) [kg];ω [rad/s];A∞₂₂ tanker(Wm.o) [kg];ω [rad/s];A₀₂₂ tanker(Wm.o) [kg]
0.300000014666746;90501534.5;0.300000014666746;20899065.4327883;0;178840701.338886
0.349999961406977;73594969.25;2.64999812619473;20899065.4327883;;
0.400000083217654;60825293.75;;;;
0.450000129429741;51607930;;;;
0.500000024444576;44424945.25;;;;
0.550000158191906;38041440;;;;
0.600000315812554;32210922.25;;;;
0.650000062813167;27290461;;;;
0.700000078785798;23483324;;;;
0.750000036666864;20479336;;;;
0.800000064576116;17835861;;;;
0.850000082140296;15511694;;;;
0.900000129943923;13628840.75;;;;
0.950000182522204;12092099.25;;;;
1.00000004888915;10839559.5;;;;
1.0500000011998;9907566.975;;;;
1.09999993122876;9192021.65;;;;
1.14999987319435;8738112.7;;;;
1.19999994407542;8500602.775;;;;
1.24999981243187;8425282.7;;;;
1.29999985665448;8525312.45;;;;
1.34999980816937;8729912.7;;;;
1.39999984562791;9041252.35;;;;
1.44999974780478;9418003.4;;;;
1.49999971523516;9847867.9;;;;
1.54999959473247;10314062.5;;;;
1.59999951799738;10801665.25;;;;
1.64999960797701;11302388;;;;
1.69999924436534;11808051.25;;;;
1.74999931962311;12310639.5;;;;
1.79999922856411;12806790.75;;;;
1.84999911880442;13292292.25;;;;
1.89999921594597;13764284.25;;;;
1.94999897806668;14221096;;;;
1.99999914284901;14661743.5;;;;
2.04999895828657;15085683.5;;;;
2.09999930052653;15492085.75;;;;
2.14999909567183;15880991.25;;;;
2.19999947730268;16252676.75;;;;
2.24999903570513;16607398.5;;;;
2.29999890445955;16945638.25;;;;
2.34999901154827;17268031.5;;;;
2.39999897141881;17575142;;;;
2.44999850157145;17867574.5;;;;
2.49999912750478;18145913.25;;;;
2.54999921151609;18410865.5;;;;
2.59999863742224;18663118;;;;
2.64999812619473;18903357.5;;;;
