Added mass 1.yaw_sway
ω [rad/s];A₆₂ tanker(Wm.o) [kg m];ω [rad/s];A∞₆₂ tanker(Wm.o) [kg m];ω [rad/s];A₀₆₂ tanker(Wm.o) [kg m]
0.300000014666746;12934423.75;0.300000014666746;83076386.311452;0;12934423.75
0.349999961406977;49593261.75;2.64999812619473;83076386.311452;;
0.400000083217654;76616925.5;;;;
0.450000129429741;94865292.625;;;;
0.500000024444576;108349060;;;;
0.550000158191906;119160350;;;;
0.600000315812554;126628448.75;;;;
0.650000062813167;132477765;;;;
0.700000078785798;136104881.25;;;;
0.750000036666864;136732386.25;;;;
0.800000064576116;135035293.75;;;;
0.850000082140296;131659558.75;;;;
0.900000129943923;128157800;;;;
0.950000182522204;123287000;;;;
1.00000004888915;116607946.25;;;;
1.0500000011998;110340635;;;;
1.09999993122876;104465847.5;;;;
1.14999987319435;97997636.25;;;;
1.19999994407542;92813191.375;;;;
1.24999981243187;88065294;;;;
1.29999985665448;84063801.625;;;;
1.34999980816937;80753077.25;;;;
1.39999984562791;77903397.875;;;;
1.44999974780478;75477581.625;;;;
1.49999971523516;73459074.75;;;;
1.54999959473247;71788083.875;;;;
1.59999951799738;70500740.25;;;;
1.64999960797701;69539859.125;;;;
1.69999924436534;68850346.75;;;;
1.74999931962311;68386339.5;;;;
1.79999922856411;68057873.125;;;;
1.84999911880442;67823307;;;;
1.89999921594597;67646981.375;;;;
1.94999897806668;67522044.125;;;;
1.99999914284901;67451339.625;;;;
2.04999895828657;67427610.875;;;;
2.09999930052653;67445117.875;;;;
2.14999909567183;67486538.125;;;;
2.19999947730268;67534620.875;;;;
2.24999903570513;67580202.625;;;;
2.29999890445955;67618219.875;;;;
2.34999901154827;67646730.25;;;;
2.39999897141881;67669434;;;;
2.44999850157145;67688765.5;;;;
2.49999912750478;67706564.625;;;;
2.54999921151609;67722365;;;;
2.59999863742224;67734321.625;;;;
2.64999812619473;67740358.875;;;;
