Radiation damping 1.heave
ω [rad/s];B₃₃ tanker(Wm.o) [N/(m/s)]
0.300000014666746;99516752.6152894
0.349999961406977;94133406.6203052
0.400000083217654;89946761.7128924
0.450000129429741;87032687.9074778
0.500000024444576;84661929.1390497
0.550000158191906;81925977.5636778
0.600000315812554;78290156.2083352
0.650000062813167;73983405.2744332
0.700000078785798;69504390.6727975
0.750000036666864;65036283.9295686
0.800000064576116;60387855.274516
0.850000082140296;55404526.6415515
0.900000129943923;50318258.6900566
0.950000182522204;45360604.2025693
1.00000004888915;40404722.9753525
1.0500000011998;35567942.3281423
1.09999993122876;31164549.0516139
1.14999987319435;26992487.9611519
1.19999994407542;23238253.6170087
1.24999981243187;19970968.8782657
1.29999985665448;17058836.3439939
1.34999980816937;14618832.360211
1.39999984562791;12523989.8190323
1.44999974780478;10784348.5105523
1.49999971523516;9332693.95325091
1.54999959473247;8122706.26496294
1.59999951799738;7122024.21447792
1.64999960797701;6282510.25108997
1.69999924436534;5578182.61554706
1.74999931962311;4987390.78596758
1.79999922856411;4484473.52806371
1.84999911880442;4058208.20198549
1.89999921594597;3694106.06058951
1.94999897806668;3381667.36277417
1.99999914284901;3111539.91646967
2.04999895828657;2875769.28866877
2.09999930052653;2669355.25838391
2.14999909567183;2487836.56982133
2.19999947730268;2326884.33715614
2.24999903570513;2184203.69765342
2.29999890445955;2057032.3446899
2.34999901154827;1941351.23855786
2.39999897141881;1840848.20705723
2.44999850157145;1746275.47272117
2.49999912750478;1661492.64514204
2.54999921151609;1584276.76375162
2.59999863742224;1513934.80509424
2.64999812619473;1449645.3024604
