Radiation damping 1.heave_pitch
ω [rad/s];B₃₅ tanker(Wm.o) [N/(rad/s)]
0.300000014666746;1070785623.5998
0.349999961406977;1018930247.64685
0.400000083217654;981257714.144871
0.450000129429741;958520902.566281
0.500000024444576;944452471.173478
0.550000158191906;928034241.92266
0.600000315812554;903185170.395108
0.650000062813167;872082358.64923
0.700000078785798;838882439.417164
0.750000036666864;805587386.259482
0.800000064576116;770766237.216357
0.850000082140296;733103625.343933
0.900000129943923;692881916.539757
0.950000182522204;650812997.227289
1.00000004888915;606627727.157514
1.0500000011998;561716562.079355
1.09999993122876;516647584.074549
1.14999987319435;471158994.60978
1.19999994407542;427330639.084761
1.24999981243187;385530821.836854
1.29999985665448;346193588.826689
1.34999980816937;310496366.566965
1.39999984562791;278050807.090507
1.44999974780478;249237170.588234
1.49999971523516;223563220.058028
1.54999959473247;200774892.379796
1.59999951799738;180514007.619844
1.64999960797701;162474382.916502
1.69999924436534;146380050.14786
1.74999931962311;132077680.493672
1.79999922856411;119330591.332811
1.84999911880442;108049316.471216
1.89999921594597;98019377.5638055
1.94999897806668;89092015.9471679
1.99999914284901;81110603.487968
2.04999895828657;73931287.994083
2.09999930052653;67464837.9286287
2.14999909567183;61635016.031457
2.19999947730268;56394661.4762066
2.24999903570513;51684251.1306369
2.29999890445955;47447434.9622352
2.34999901154827;43617445.99747
2.39999897141881;39958119.5749217
2.44999850157145;36987036.0098358
2.49999912750478;34105876.5346102
2.54999921151609;31480204.3660226
2.59999863742224;29106488.471202
2.64999812619473;26964728.426451
