Radiation damping 1.heave_surge
ω [rad/s];B₃₁ tanker(Wm.o) [N/(m/s)]
0.300000014666746;683538.400917611
0.349999961406977;610605.527046097
0.400000083217654;530434.945353857
0.450000129429741;514100.864741495
0.500000024444576;576635.046941197
0.550000158191906;672010.770159789
0.600000315812554;720858.17692657
0.650000062813167;686664.965731303
0.700000078785798;609899.391894864
0.750000036666864;556261.108132633
0.800000064576116;557261.179982199
0.850000082140296;574265.717557031
0.900000129943923;548269.504160311
0.950000182522204;494837.156697369
1.00000004888915;479799.397206985
1.0500000011998;484245.181115831
1.09999993122876;457075.956173926
1.14999987319435;429632.638626216
1.19999994407542;421123.690374029
1.24999981243187;388622.541685427
1.29999985665448;357456.477209778
1.34999980816937;326369.914061385
1.39999984562791;287115.988090928
1.44999974780478;252256.709875553
1.49999971523516;214904.636701802
1.54999959473247;181282.682601288
1.59999951799738;148329.583115457
1.64999960797701;119306.471535255
1.69999924436534;90825.3587664297
1.74999931962311;65033.3406221362
1.79999922856411;39686.4588163489
1.84999911880442;15526.5852612183
1.89999921594597;-6113.83680956297
1.94999897806668;-26297.030287301
1.99999914284901;-43734.0047566692
2.04999895828657;-58934.4852522556
2.09999930052653;-72599.4420058808
2.14999909567183;-84660.6017339827
2.19999947730268;-95800.0329638943
2.24999903570513;-106155.108348252
2.29999890445955;-115236.006760536
2.34999901154827;-122710.597804472
2.39999897141881;-128991.938917192
2.44999850157145;-133810.643898393
2.49999912750478;-137693.083507861
2.54999921151609;-140981.946019547
2.59999863742224;-143840.887792501
2.64999812619473;-146241.533536825
