Radiation damping 1.pitch
ω [rad/s];B₅₅ tanker(Wm.o) [N m/(rad/s)]
0.300000014666746;343700146803.208
0.349999961406977;369146175545.804
0.400000083217654;367695374496.851
0.450000129429741;347245151375.194
0.500000024444576;323583547069.724
0.550000158191906;306445286265.273
0.600000315812554;295856852725.432
0.650000062813167;286896205474.396
0.700000078785798;274433807637.834
0.750000036666864;258195770122.972
0.800000064576116;241906415526.719
0.850000082140296;227251208835.564
0.900000129943923;211940346600.396
0.950000182522204;195053944850.441
1.00000004888915;179456086273.455
1.0500000011998;164713282313.212
1.09999993122876;148929097939.055
1.14999987319435;135361387699.269
1.19999994407542;122202831304.882
1.24999981243187;109746733532.006
1.29999985665448;99028390955.5559
1.34999980816937;88861741735.5324
1.39999984562791;80190775957.7005
1.44999974780478;72392059196.5105
1.49999971523516;65585155799.0999
1.54999959473247;59677962333.9216
1.59999951799738;54407246009.7233
1.64999960797701;49803055629.8046
1.69999924436534;45724364575.9235
1.74999931962311;42057286523.6761
1.79999922856411;38826163360.0506
1.84999911880442;35939191956.3664
1.89999921594597;33361927107.861
1.94999897806668;31058060285.9444
1.99999914284901;28990575075.3446
2.04999895828657;27132523925.0225
2.09999930052653;25449730873.1346
2.14999909567183;23923701599.7621
2.19999947730268;22542816979.0578
2.24999903570513;21290393744.205
2.29999890445955;20150764086.7445
2.34999901154827;19111370956.4147
2.39999897141881;18176991249.7836
2.44999850157145;17284395816.2967
2.49999912750478;16477871186.7525
2.54999921151609;15733016308.9523
2.59999863742224;15046161044.7788
2.64999812619473;14412863206.2101
