Radiation damping 1.roll
ω [rad/s];B₄₄ tanker(Wm.o) [N m/(rad/s)]
0.300000014666746;381355676.144155
0.349999961406977;430881303.738531
0.400000083217654;457863905.255881
0.450000129429741;476221850.721674
0.500000024444576;494075187.904916
0.550000158191906;508336621.833574
0.600000315812554;510285940.591035
0.650000062813167;495484309.88144
0.700000078785798;472816983.466084
0.750000036666864;454834188.486457
0.800000064576116;440325931.54317
0.850000082140296;415589426.660747
0.900000129943923;382688940.503439
0.950000182522204;359762717.870707
1.00000004888915;339153246.580914
1.0500000011998;308260709.227239
1.09999993122876;289379621.908186
1.14999987319435;272326110.971745
1.19999994407542;250096503.344548
1.24999981243187;239626129.668014
1.29999985665448;222750535.938235
1.34999980816937;212492217.55554
1.39999984562791;199960626.951183
1.44999974780478;190631593.718872
1.49999971523516;180814424.423599
1.54999959473247;172470365.280383
1.59999951799738;164839466.341826
1.64999960797701;157350463.202643
1.69999924436534;150635834.418701
1.74999931962311;144207793.558893
1.79999922856411;137871680.261551
1.84999911880442;131991490.304528
1.89999921594597;126315791.099502
1.94999897806668;120877640.839318
1.99999914284901;115699121.41417
2.04999895828657;110742962.975614
2.09999930052653;106079448.14177
2.14999909567183;101638890.62386
2.19999947730268;97384136.2625276
2.24999903570513;93329192.7513778
2.29999890445955;89463970.4863281
2.34999901154827;85778345.5700896
2.39999897141881;82287505.9335762
2.44999850157145;79001943.0196064
2.49999912750478;75912934.131522
2.54999921151609;72995140.766711
2.59999863742224;70225085.0472348
2.64999812619473;67586092.1475885
