Radiation damping 1.roll_yaw
ω [rad/s];B₄₆ tanker(Wm.o) [N m/(rad/s)]
0.300000014666746;981180119.219062
0.349999961406977;1412675907.98017
0.400000083217654;1682803735.09738
0.450000129429741;1745962285.9264
0.500000024444576;1722645577.96868
0.550000158191906;1784238256.9354
0.600000315812554;1987857243.81657
0.650000062813167;2180614474.47506
0.700000078785798;2195526569.60899
0.750000036666864;2106415846.73088
0.800000064576116;2104572809.88141
0.850000082140296;2169867937.81156
0.900000129943923;2124986436.81004
0.950000182522204;2059242590.01439
1.00000004888915;2066420088.52552
1.0500000011998;1987926847.89654
1.09999993122876;1932038215.4603
1.14999987319435;1908958303.2572
1.19999994407542;1799352156.14332
1.24999981243187;1762835735.47851
1.29999985665448;1659105560.80741
1.34999980816937;1590300752.77338
1.39999984562791;1493334020.33634
1.44999974780478;1414594594.65022
1.49999971523516;1327048285.56882
1.54999959473247;1247415156.7221
1.59999951799738;1174485810.18412
1.64999960797701;1099635352.05041
1.69999924436534;1034284548.89465
1.74999931962311;970803580.376743
1.79999922856411;909598355.418266
1.84999911880442;853565053.178048
1.89999921594597;801055885.93613
1.94999897806668;752446332.35397
1.99999914284901;707325239.357605
2.04999895828657;666213476.399022
2.09999930052653;629017977.484985
2.14999909567183;594469135.768121
2.19999947730268;562372512.386057
2.24999903570513;532696820.136598
2.29999890445955;505166863.252827
2.34999901154827;479717776.722101
2.39999897141881;456451574.375956
2.44999850157145;435245691.364553
2.49999912750478;415786620.516214
2.54999921151609;397731600.767622
2.59999863742224;380866942.899577
2.64999812619473;365092126.657015
