Radiation damping 1.surge_pitch
ω [rad/s];B₁₅ tanker(Wm.o) [N/(rad/s)]
0.300000014666746;652132501.882203
0.349999961406977;640790210.592759
0.400000083217654;584456966.592819
0.450000129429741;531385982.838068
0.500000024444576;515491487.701941
0.550000158191906;530131823.227344
0.600000315812554;549501958.982543
0.650000062813167;552090747.539139
0.700000078785798;534985136.71318
0.750000036666864;515627325.833581
0.800000064576116;506793332.908428
0.850000082140296;501482313.21106
0.900000129943923;486876197.796215
0.950000182522204;465850317.690669
1.00000004888915;448657333.184476
1.0500000011998;432294862.618969
1.09999993122876;409138323.545954
1.14999987319435;385669453.036352
1.19999994407542;364646828.506066
1.24999981243187;339663359.969474
1.29999985665448;317259553.767124
1.34999980816937;295172928.806877
1.39999984562791;274356328.247882
1.44999974780478;255387346.331048
1.49999971523516;237736276.742369
1.54999959473247;221843221.183708
1.59999951799738;207063795.621674
1.64999960797701;193806549.078551
1.69999924436534;181289270.918519
1.74999931962311;169933781.931964
1.79999922856411;159346613.132917
1.84999911880442;149531766.005956
1.89999921594597;140608234.52658
1.94999897806668;132351149.395162
1.99999914284901;124843275.745208
2.04999895828657;117962896.331783
2.09999930052653;111585013.945461
2.14999909567183;105700510.35297
2.19999947730268;100206392.116989
2.24999903570513;95056873.073436
2.29999890445955;90284156.1331555
2.34999901154827;85890677.5790908
2.39999897141881;81872356.5114992
2.44999850157145;78159306.1537163
2.49999912750478;74731147.9814633
2.54999921151609;71525220.4962243
2.59999863742224;68506613.9978316
2.64999812619473;65672237.3321192
