Radiation damping 1.sway
ω [rad/s];B₂₂ tanker(Wm.o) [N/(m/s)]
0.300000014666746;24551283.9752914
0.349999961406977;28556963.2261438
0.400000083217654;31235241.4983075
0.450000129429741;33268851.231339
0.500000024444576;35150664.9684861
0.550000158191906;36855234.5003602
0.600000315812554;38058882.9824445
0.650000062813167;38620364.2446033
0.700000078785798;38753600.0117614
0.750000036666864;38763736.3326261
0.800000064576116;38649948.7198292
0.850000082140296;38235663.7699276
0.900000129943923;37550616.9966375
0.950000182522204;36702786.801655
1.00000004888915;35641629.742489
1.0500000011998;34428828.5643407
1.09999993122876;33098606.055698
1.14999987319435;31617796.3636386
1.19999994407542;30123313.5961386
1.24999981243187;28559698.8394878
1.29999985665448;27020845.0955251
1.34999980816937;25494870.5772609
1.39999984562791;24024179.0009548
1.44999974780478;22604060.2060262
1.49999971523516;21255825.8397246
1.54999959473247;19974728.9148477
1.59999951799738;18766579.9465354
1.64999960797701;17632731.5356438
1.69999924436534;16569501.8050027
1.74999931962311;15576569.1627833
1.79999922856411;14652111.0354616
1.84999911880442;13790729.4461699
1.89999921594597;12989720.3171596
1.94999897806668;12245335.4576036
1.99999914284901;11554489.9980266
2.04999895828657;10913046.4545011
2.09999930052653;10317600.6433856
2.14999909567183;9765438.00748165
2.19999947730268;9253074.60156434
2.24999903570513;8777343.88824388
2.29999890445955;8335620.954559
2.34999901154827;7925376.71894443
2.39999897141881;7544182.08674703
2.44999850157145;7189857.53890535
2.49999912750478;6860289.29327133
2.54999921151609;6553492.55484802
2.59999863742224;6267565.03536568
2.64999812619473;6000865.63680693
