Radiation damping 1.sway_roll
ω [rad/s];B₂₄ tanker(Wm.o) [N/(rad/s)]
0.300000014666746;-94518739.6209408
0.349999961406977;-107573112.888365
0.400000083217654;-115345385.496926
0.450000129429741;-120745298.666452
0.500000024444576;-125201091.120975
0.550000158191906;-127870741.965883
0.600000315812554;-127496116.858088
0.650000062813167;-124255836.882541
0.700000078785798;-119631156.214621
0.750000036666864;-114570200.60124
0.800000064576116;-108548451.762046
0.850000082140296;-101238737.033269
0.900000129943923;-93107707.8180878
0.950000182522204;-84563815.9471274
1.00000004888915;-75929953.7121509
1.0500000011998;-67423882.258293
1.09999993122876;-58721577.5162675
1.14999987319435;-50707768.3836677
1.19999994407542;-43383450.9781656
1.24999981243187;-36499623.1168162
1.29999985665448;-30680862.4169504
1.34999980816937;-25444986.3968493
1.39999984562791;-21126864.0954296
1.44999974780478;-17416402.089554
1.49999971523516;-14408308.7459296
1.54999959473247;-11935571.8130397
1.59999951799738;-9909603.53471484
1.64999960797701;-8325266.628877
1.69999924436534;-7021607.98645722
1.74999931962311;-6009981.25402275
1.79999922856411;-5217819.20126959
1.84999911880442;-4603491.69600488
1.89999921594597;-4138271.22855023
1.94999897806668;-3793268.73519179
1.99999914284901;-3550594.3783016
2.04999895828657;-3381606.09600121
2.09999930052653;-3270029.55580968
2.14999909567183;-3206937.52235457
2.19999947730268;-3177489.30256112
2.24999903570513;-3172088.69051993
2.29999890445955;-3185355.82524442
2.34999901154827;-3212006.55522244
2.39999897141881;-3247706.59811194
2.44999850157145;-3289817.10356015
2.49999912750478;-3336020.21073492
2.54999921151609;-3383533.61440436
2.59999863742224;-3429811.89504313
2.64999812619473;-3473156.41101711
