Radiation damping 1.sway_yaw
ω [rad/s];B₂₆ tanker(Wm.o) [N/(rad/s)]
0.300000014666746;-48776513.3846423
0.349999961406977;-54029573.6673862
0.400000083217654;-55752590.5989971
0.450000129429741;-55419618.5648774
0.500000024444576;-54224296.4009797
0.550000158191906;-51546138.0945309
0.600000315812554;-47600566.8797478
0.650000062813167;-42716512.9466873
0.700000078785798;-35950208.8087365
0.750000036666864;-28326136.4785907
0.800000064576116;-20253280.0348476
0.850000082140296;-12876492.506828
0.900000129943923;-5487167.78349889
0.950000182522204;2384491.70625405
1.00000004888915;9115372.59564281
1.0500000011998;13883291.378364
1.09999993122876;18446169.4467582
1.14999987319435;21492081.5489086
1.19999994407542;22955851.7801697
1.24999981243187;24153423.0944195
1.29999985665448;24121825.1026878
1.34999980816937;24029278.8917668
1.39999984562791;23384283.8715134
1.44999974780478;22579054.0541255
1.49999971523516;21438426.992559
1.54999959473247;20065811.9285328
1.59999951799738;18567467.6065184
1.64999960797701;16984517.8459027
1.69999924436534;15479937.9493042
1.74999931962311;14088001.1915191
1.79999922856411;12851178.7097973
1.84999911880442;11766019.902459
1.89999921594597;10783844.4549367
1.94999897806668;9879227.44073166
1.99999914284901;9034754.07792413
2.04999895828657;8269127.92239159
2.09999930052653;7604699.24825614
2.14999909567183;7046871.11345964
2.19999947730268;6593491.02595413
2.24999903570513;6228268.76509048
2.29999890445955;5928877.46219426
2.34999901154827;5676079.6887891
2.39999897141881;5457122.67120994
2.44999850157145;5267886.08314052
2.49999912750478;5107012.03016195
2.54999921151609;4975119.98914577
2.59999863742224;4871433.56203441
2.64999812619473;4791701.9999277
