Radiation damping 1.yaw
ω [rad/s];B₆₆ tanker(Wm.o) [N m/(rad/s)]
0.300000014666746;38592574136.7581
0.349999961406977;65247936055.3846
0.400000083217654;90061192736.6991
0.450000129429741;106694351187.596
0.500000024444576;114786885611.833
0.550000158191906;118585410357.721
0.600000315812554;123019129751.608
0.650000062813167;129330530372.938
0.700000078785798;134490798137.091
0.750000036666864;136119494154.766
0.800000064576116;135740514956.993
0.850000082140296;135782757371.453
0.900000129943923;135254847778.381
0.950000182522204;133142810580.542
1.00000004888915;130827726396.056
1.0500000011998;127670156395.884
1.09999993122876;123670280768.219
1.14999987319435;119862595033.256
1.19999994407542;114980652941.463
1.24999981243187;110428768429.663
1.29999985665448;105380111280.178
1.34999980816937;100545059587.871
1.39999984562791;95595384459.0991
1.44999974780478;90877498431.3793
1.49999971523516;86214266007.8022
1.54999959473247;81761518009.8891
1.59999951799738;77493978254.8054
1.64999960797701;73397509649.0042
1.69999924436534;69530650369.2396
1.74999931962311;65871676264.9523
1.79999922856411;62409220002.9261
1.84999911880442;59168508866.7279
1.89999921594597;56129887037.4304
1.94999897806668;53285707662.1314
1.99999914284901;50621017805.0629
2.04999895828657;48133372328.3752
2.09999930052653;45812008165.812
2.14999909567183;43638198394.9912
2.19999947730268;41604198915.2689
2.24999903570513;39702699421.8886
2.29999890445955;37924259310.8348
2.34999901154827;36261957610.0704
2.39999897141881;34709773324.2353
2.44999850157145;33259878708.1297
2.49999912750478;31902780740.9867
2.54999921151609;30629742653.9934
2.59999863742224;29434349924.3801
2.64999812619473;28311345081.1376
