heading,line,cond_num,Hs,Tp,elem,static_kN,dyn_mean_kN,dyn_max_kN,dyn_std_kN
0deg,HL7,1,0.5000,1.5000,Fender1,136.1131,135.8133,142.8070,1.0653
0deg,HL7,1,0.5000,1.5000,Fender2,134.5586,134.3019,138.7235,0.5957
0deg,HL7,1,0.5000,1.5000,Fender3,132.9951,132.7910,134.8764,0.1458
0deg,HL7,1,0.5000,1.5000,Fender4,131.4433,131.2811,132.7907,0.1545
0deg,HL7,1,0.5000,1.5000,Fender5,129.8929,129.7722,133.3456,0.5811
0deg,HL7,1,0.5000,1.5000,Fender6,128.3346,128.2646,134.1252,0.7872
0deg,HL7,2,0.8300,1.9300,Fender1,134.7077,134.2907,151.2280,2.6503
0deg,HL7,2,0.8300,1.9300,Fender2,133.7389,133.4485,144.6127,1.7257
0deg,HL7,2,0.8300,1.9300,Fender3,132.7819,132.6085,138.4467,0.9385
0deg,HL7,2,0.8300,1.9300,Fender4,131.8166,131.7697,137.0674,1.1428
0deg,HL7,2,0.8300,1.9300,Fender5,130.8523,130.9321,139.3473,1.5886
0deg,HL7,2,0.8300,1.9300,Fender6,129.8895,130.0960,143.5358,2.1056
0deg,HL7,3,1.1700,2.2900,Fender1,133.1095,132.3363,159.5388,3.4682
0deg,HL7,3,1.1700,2.2900,Fender2,132.8391,131.8703,149.0002,1.9616
0deg,HL7,3,1.1700,2.2900,Fender3,132.5798,131.3651,143.2691,1.1290
0deg,HL7,3,1.1700,2.2900,Fender4,132.3211,130.7756,141.6442,1.0653
0deg,HL7,3,1.1700,2.2900,Fender5,132.0548,130.1056,144.8705,1.8574
0deg,HL7,3,1.1700,2.2900,Fender6,131.7896,129.3767,149.6888,1.8521
0deg,HL7,4,1.5000,2.5900,Fender1,131.4761,135.3719,177.3293,5.1422
0deg,HL7,4,1.5000,2.5900,Fender2,131.9717,132.1830,155.8292,1.4486
0deg,HL7,4,1.5000,2.5900,Fender3,132.4703,128.9805,143.2571,0.5784
0deg,HL7,4,1.5000,2.5900,Fender4,132.9683,125.7724,141.9564,1.0243
0deg,HL7,4,1.5000,2.5900,Fender5,133.4682,122.5621,148.4801,3.6682
0deg,HL7,4,1.5000,2.5900,Fender6,133.9685,119.3528,157.5862,4.5061
0deg,HL7,5,1.8300,2.8700,Fender1,128.8653,140.2190,209.4555,11.4366
0deg,HL7,5,1.8300,2.8700,Fender2,130.5161,134.7378,177.9661,7.5685
0deg,HL7,5,1.8300,2.8700,Fender3,132.1653,129.2537,146.9444,1.0529
0deg,HL7,5,1.8300,2.8700,Fender4,133.8259,123.7795,141.5557,1.1445
0deg,HL7,5,1.8300,2.8700,Fender5,135.4580,118.3320,151.1794,2.5625
0deg,HL7,5,1.8300,2.8700,Fender6,137.0462,112.9037,163.9171,4.4018
0deg,HL7,6,2.1700,3.1200,Fender1,127.7990,144.0059,223.7205,8.3977
0deg,HL7,6,2.1700,3.1200,Fender2,130.0815,137.1296,186.8014,6.3173
0deg,HL7,6,2.1700,3.1200,Fender3,132.3635,130.2536,150.5797,1.6372
0deg,HL7,6,2.1700,3.1200,Fender4,134.6232,123.3904,142.1575,0.7878
0deg,HL7,6,2.1700,3.1200,Fender5,136.8455,116.5594,155.1760,3.3105
0deg,HL7,6,2.1700,3.1200,Fender6,139.0681,109.7615,171.9365,5.7416
0deg,HL7,7,2.5000,3.3500,Fender1,124.8951,147.6371,249.0590,13.0557
0deg,HL7,7,2.5000,3.3500,Fender2,128.3353,139.4561,201.5019,8.1081
0deg,HL7,7,2.5000,3.3500,Fender3,131.7796,131.2780,158.2825,2.5331
0deg,HL7,7,2.5000,3.3500,Fender4,135.1940,123.1110,144.6266,0.9467
0deg,HL7,7,2.5000,3.3500,Fender5,138.5851,114.9744,160.8615,1.8582
0deg,HL7,7,2.5000,3.3500,Fender6,141.9823,106.8855,177.8620,2.8005
0deg,HL7,8,2.8300,3.5600,Fender1,121.7925,152.3559,289.9975,21.3620
0deg,HL7,8,2.8300,3.5600,Fender2,126.3706,142.5262,235.0840,15.1308
0deg,HL7,8,2.8300,3.5600,Fender3,130.9368,132.6958,184.1561,10.7487
0deg,HL7,8,2.8300,3.5600,Fender4,135.5027,122.8763,153.8571,2.9049
0deg,HL7,8,2.8300,3.5600,Fender5,140.0806,113.1078,165.5612,2.9370
0deg,HL7,8,2.8300,3.5600,Fender6,144.6703,103.3870,184.8680,4.3553
0deg,HL7,9,3.1700,3.7700,Fender1,120.7105,159.2380,346.8846,36.8813
0deg,HL7,9,3.1700,3.7700,Fender2,126.1278,147.0447,277.1032,27.1970
