heading,line,cond_num,Hs,Tp,elem,static_kN,dyn_mean_kN,dyn_max_kN,dyn_std_kN
0deg,HL7,1,0.5000,1.5000,Mooring1,158.3237,158.3826,159.8728,0.2091
0deg,HL7,1,0.5000,1.5000,Mooring2,146.2523,146.3477,148.1430,0.2616
0deg,HL7,1,0.5000,1.5000,Mooring3,141.0320,141.1252,142.6000,0.1001
0deg,HL7,1,0.5000,1.5000,Mooring4,159.4330,159.3917,160.7854,0.1417
0deg,HL7,1,0.5000,1.5000,Mooring5,163.3000,163.3182,164.0892,0.0556
0deg,HL7,1,0.5000,1.5000,Mooring6,143.4311,143.4995,145.2315,0.3136
0deg,HL7,1,0.5000,1.5000,Mooring7,147.2204,147.2301,148.7123,0.2201
0deg,HL7,1,0.5000,1.5000,Mooring8,157.6536,157.6273,158.5607,0.0921
0deg,HL7,2,0.8300,1.9300,Mooring1,159.1270,159.2450,162.9939,0.6204
0deg,HL7,2,0.8300,1.9300,Mooring2,146.8584,147.0265,151.0324,0.3945
0deg,HL7,2,0.8300,1.9300,Mooring3,140.9867,141.1182,145.0704,0.4520
0deg,HL7,2,0.8300,1.9300,Mooring4,158.4027,158.3210,162.6578,0.2835
0deg,HL7,2,0.8300,1.9300,Mooring5,163.7585,163.7957,166.2112,0.3586
0deg,HL7,2,0.8300,1.9300,Mooring6,143.3811,143.4263,147.6977,0.6591
0deg,HL7,2,0.8300,1.9300,Mooring7,146.5118,146.4618,149.8352,0.4897
0deg,HL7,2,0.8300,1.9300,Mooring8,156.7942,156.7164,159.3468,0.1994
0deg,HL7,3,1.1700,2.2900,Mooring1,160.1156,162.7523,171.2698,2.1163
0deg,HL7,3,1.1700,2.2900,Mooring2,147.5688,148.0652,153.9057,0.5434
0deg,HL7,3,1.1700,2.2900,Mooring3,140.8669,138.3710,145.7565,0.2322
0deg,HL7,3,1.1700,2.2900,Mooring4,157.0969,152.1251,163.7715,1.1054
0deg,HL7,3,1.1700,2.2900,Mooring5,164.3288,166.3789,172.4158,1.4270
0deg,HL7,3,1.1700,2.2900,Mooring6,143.3001,144.1420,152.5736,1.5561
0deg,HL7,3,1.1700,2.2900,Mooring7,145.6260,144.0424,149.0010,0.2826
0deg,HL7,3,1.1700,2.2900,Mooring8,155.7160,152.6088,159.6345,0.4494
0deg,HL7,4,1.5000,2.5900,Mooring1,161.2522,179.0836,201.0827,4.2104
0deg,HL7,4,1.5000,2.5900,Mooring2,148.3519,152.1750,165.5936,1.9064
0deg,HL7,4,1.5000,2.5900,Mooring3,140.6531,125.3004,145.9071,0.9321
0deg,HL7,4,1.5000,2.5900,Mooring4,155.5562,122.7398,161.5810,0.7330
0deg,HL7,4,1.5000,2.5900,Mooring5,164.9907,179.1785,193.4551,2.2925
0deg,HL7,4,1.5000,2.5900,Mooring6,143.1981,151.6324,167.1495,2.5125
0deg,HL7,4,1.5000,2.5900,Mooring7,144.6037,136.2098,149.1894,1.1968
0deg,HL7,4,1.5000,2.5900,Mooring8,154.4717,134.6488,158.3087,0.6702
0deg,HL7,5,1.8300,2.8700,Mooring1,163.1229,194.7370,234.1476,10.4830
0deg,HL7,5,1.8300,2.8700,Mooring2,149.7004,156.9893,180.4786,3.7526
0deg,HL7,5,1.8300,2.8700,Mooring3,140.4881,114.5998,145.2127,1.1349
