heading,line,cond_num,Hs,Tp,n_runs,static_kN,dyn_mean_kN,dyn_max_kN,dyn_std_kN
0deg,HL7,1,0.5000,1.5000,5,1216.6462,1216.9223,1217.9540,0.0455
0deg,HL7,2,0.8300,1.9300,5,1215.8205,1216.1109,1218.8145,0.1704
0deg,HL7,3,1.1700,2.2900,5,1214.6191,1208.4857,1219.1369,0.8182
0deg,HL7,4,1.5000,2.5900,5,1213.0777,1180.9683,1217.4297,0.3350
0deg,HL7,5,1.8300,2.8700,5,1211.5397,1161.1616,1217.1088,1.3850
0deg,HL7,6,2.1700,3.1200,5,1208.0460,1150.5503,1212.5758,1.6685
0deg,HL7,7,2.5000,3.3500,5,1202.8790,1141.9066,1248.4922,18.4513
0deg,HL7,8,2.8300,3.5600,5,1195.9738,1135.5428,1427.0345,90.3802
0deg,HL7,9,3.1700,3.7700,5,1186.6917,1138.9126,1675.0732,175.7256
0deg,HL9,1,0.5000,1.7000,5,1216.6178,1216.9165,1218.0073,0.0814
0deg,HL9,2,0.8300,2.1900,5,1215.8019,1216.0980,1218.9310,0.2004
0deg,HL9,3,1.1700,2.5900,5,1214.6169,1207.5550,1219.3434,0.7697
0deg,HL9,4,1.5000,2.9400,5,1213.0564,1179.6866,1217.3696,0.5178
0deg,HL9,5,1.8300,3.2500,5,1211.5284,1161.0211,1216.9451,1.1940
0deg,HL9,6,2.1700,3.5300,5,1208.0548,1150.5984,1212.8816,2.0729
0deg,HL9,7,2.5000,3.8000,5,1203.0550,1142.0118,1251.3539,19.8915
0deg,HL9,8,2.8300,4.0400,5,1196.3761,1135.3232,1386.6079,89.8521
0deg,HL9,9,3.1700,4.2700,5,1187.3940,1137.5329,1551.1799,139.3277
0deg,HL11,1,0.5000,1.8800,5,1216.6361,1216.9129,1218.0413,0.0742
0deg,HL11,2,0.8300,2.4200,5,1215.7999,1216.0904,1219.1998,0.2318
0deg,HL11,3,1.1700,2.8700,5,1214.5957,1206.8258,1219.0086,0.6300
0deg,HL11,4,1.5000,3.2500,5,1213.0285,1178.6771,1217.9052,0.7261
0deg,HL11,5,1.8300,3.5900,5,1211.5208,1160.7342,1217.0320,2.2867
0deg,HL11,6,2.1700,3.9100,5,1208.1404,1150.7646,1215.5334,2.9633
0deg,HL11,7,2.5000,4.2000,5,1203.2766,1142.0869,1229.9082,10.0437
0deg,HL11,8,2.8300,4.4700,5,1196.7067,1135.5526,1366.5386,76.7271
0deg,HL11,9,3.1700,4.7200,5,1187.9101,1137.4511,1600.1823,118.4298
0deg,HL13,1,0.5000,2.0400,5,1216.6272,1216.9106,1218.0469,0.0679
0deg,HL13,2,0.8300,2.6300,5,1215.7815,1216.0852,1219.4085,0.3944
0deg,HL13,3,1.1700,3.1200,5,1214.5871,1206.4513,1218.4438,0.4542
0deg,HL13,4,1.5000,3.5300,5,1213.0282,1177.8288,1217.6148,1.4272
0deg,HL13,5,1.8300,3.9100,5,1211.5900,1161.0863,1217.2742,1.4688
0deg,HL13,6,2.1700,4.2500,5,1208.2342,1150.7776,1215.4012,3.5022
0deg,HL13,7,2.5000,4.5600,5,1203.4431,1142.3851,1220.7840,7.4432
0deg,HL13,8,2.8300,4.8600,5,1197.0100,1137.5572,1393.2797,80.9082
0deg,HL13,9,3.1700,5.1300,5,1188.5395,1138.9230,1619.7640,157.8126
0deg,HL15,1,0.5000,2.1900,5,1216.6176,1216.9087,1218.1415,0.0975
0deg,HL15,2,0.8300,2.8300,5,1215.7804,1216.0555,1219.4884,0.4727
0deg,HL15,3,1.1700,3.3500,5,1214.5767,1206.0310,1218.6043,0.3095
0deg,HL15,4,1.5000,3.8000,5,1213.0480,1177.7037,1218.6611,1.0444
0deg,HL15,5,1.8300,4.2000,5,1211.0485,1160.8230,1218.2927,3.1475
0deg,HL15,6,2.1700,4.5600,5,1208.4888,1150.9369,1210.5282,0.7428
0deg,HL15,7,2.5000,4.9000,5,1203.6407,1144.0579,1233.3594,10.5686
0deg,HL15,8,2.8300,5.2200,5,1197.3922,1139.6816,1382.8283,88.9443
0deg,HL15,9,3.1700,5.5200,5,1189.3232,1140.7830,1809.0926,214.3868
0deg,HL17,1,0.5000,2.3300,5,1216.6175,1216.9072,1218.2163,0.1244
0deg,HL17,2,0.8300,3.0100,5,1215.7801,1215.9885,1219.4885,0.3911
0deg,HL17,3,1.1700,3.5600,5,1214.5873,1205.9882,1218.8812,0.5465
0deg,HL17,4,1.5000,4.0400,5,1213.0883,1177.1868,1220.1773,1.6131
0deg,HL17,5,1.8300,4.4700,5,1211.0896,1161.0122,1212.4059,0.5993
0deg,HL17,6,2.1700,4.8600,5,1208.5892,1151.8007,1216.1421,2.1078
0deg,HL17,7,2.5000,5.2200,5,1203.8694,1145.6816,1223.3561,4.8351
0deg,HL17,8,2.8300,5.5500,5,1197.7965,1141.6247,1443.8494,105.9133
0deg,HL17,9,3.1700,5.8700,5,1189.4085,1140.9438,1830.9488,219.2495
0deg,HL19,1,0.5000,2.4700,5,1216.6170,1216.9060,1218.2316,0.1176
0deg,HL19,2,0.8300,3.1800,5,1215.7898,1215.9784,1219.2738,0.2875
0deg,HL19,3,1.1700,3.7700,5,1214.5959,1205.8283,1218.9271,0.3029
0deg,HL19,4,1.5000,4.2700,5,1213.0997,1176.5049,1219.5258,1.8608
0deg,HL19,5,1.8300,4.7200,5,1211.1111,1160.8705,1216.8798,1.8931
0deg,HL19,6,2.1700,5.1300,5,1208.6751,1152.7766,1218.7943,3.8366
0deg,HL19,7,2.5000,5.5200,5,1204.1108,1147.1467,1230.7830,8.3919
0deg,HL19,8,2.8300,5.8700,5,1198.1916,1143.2395,1510.1565,125.6397
0deg,HL19,9,3.1700,6.2100,5,1190.6662,1143.8495,1917.8614,230.2865
0deg,HL21,1,0.5000,2.5900,5,1216.6077,1216.9050,1218.2672,0.1335
0deg,HL21,2,0.8300,3.3500,5,1215.7895,1215.9780,1219.1768,0.2241
