heading,line,cond_num,Hs,Tp,dof,static_val,dyn_mean,dyn_max,dyn_std
0deg,HL7,1,0.5000,1.5000,surge,4.8028,4.8029,4.8077,0.0004
0deg,HL7,1,0.5000,1.5000,sway,-17.9660,-17.9660,-17.9653,0.0000
0deg,HL7,1,0.5000,1.5000,heave,0.0016,0.0008,0.0016,0.0000
0deg,HL7,1,0.5000,1.5000,roll,-0.1184,-0.1174,-0.1135,0.0002
0deg,HL7,1,0.5000,1.5000,pitch,-0.0002,-0.0001,0.0001,0.0000
0deg,HL7,1,0.5000,1.5000,yaw,-0.0012,-0.0012,0.0008,0.0002
0deg,HL7,2,0.8300,1.9300,surge,4.8060,4.8063,4.8215,0.0025
0deg,HL7,2,0.8300,1.9300,sway,-17.9660,-17.9660,-17.9647,0.0001
0deg,HL7,2,0.8300,1.9300,heave,0.0016,0.0008,0.0016,0.0000
0deg,HL7,2,0.8300,1.9300,roll,-0.1198,-0.1187,-0.1116,0.0003
0deg,HL7,2,0.8300,1.9300,pitch,-0.0003,-0.0001,0.0007,0.0001
0deg,HL7,2,0.8300,1.9300,yaw,-0.0007,-0.0006,0.0039,0.0004
0deg,HL7,3,1.1700,2.2900,surge,4.8099,4.8234,4.8609,0.0098
0deg,HL7,3,1.1700,2.2900,sway,-17.9660,-17.9671,-17.9644,0.0003
0deg,HL7,3,1.1700,2.2900,heave,0.0016,0.0005,0.0016,0.0000
0deg,HL7,3,1.1700,2.2900,roll,-0.1221,-0.1387,-0.1111,0.0014
0deg,HL7,3,1.1700,2.2900,pitch,-0.0003,-0.0001,0.0012,0.0001
0deg,HL7,3,1.1700,2.2900,yaw,-0.0001,-0.0005,0.0072,0.0007
0deg,HL7,4,1.5000,2.5900,surge,4.8146,4.9046,4.9975,0.0158
0deg,HL7,4,1.5000,2.5900,sway,-17.9660,-17.9705,-17.9647,0.0002
0deg,HL7,4,1.5000,2.5900,heave,0.0016,-0.0006,0.0016,0.0000
0deg,HL7,4,1.5000,2.5900,roll,-0.1256,-0.1961,-0.1143,0.0013
0deg,HL7,4,1.5000,2.5900,pitch,-0.0003,-0.0001,0.0020,0.0001
0deg,HL7,4,1.5000,2.5900,yaw,0.0005,-0.0028,0.0090,0.0008
0deg,HL7,5,1.8300,2.8700,surge,4.8220,4.9803,5.1464,0.0436
0deg,HL7,5,1.8300,2.8700,sway,-17.9660,-17.9724,-17.9647,0.0003
0deg,HL7,5,1.8300,2.8700,heave,0.0003,-0.0011,0.0023,0.0004
0deg,HL7,5,1.8300,2.8700,roll,-0.1279,-0.2261,-0.1141,0.0043
0deg,HL7,5,1.8300,2.8700,pitch,-0.0001,-0.0001,0.0030,0.0001
0deg,HL7,5,1.8300,2.8700,yaw,0.0014,-0.0048,0.0127,0.0019
0deg,HL7,6,2.1700,3.1200,surge,4.8289,5.0384,5.3290,0.0749
0deg,HL7,6,2.1700,3.1200,sway,-17.9670,-17.9729,-17.9655,0.0004
0deg,HL7,6,2.1700,3.1200,heave,0.0010,-0.0012,0.0025,0.0004
0deg,HL7,6,2.1700,3.1200,roll,-0.1374,-0.2309,-0.1280,0.0039
